item,user,rating
0,498,9.0
0,241,9.0
0,260,9.0
0,478,9.0
0,417,9.0
0,378,9.0
0,295,9.0
0,547,7.0
0,364,9.0
0,508,9.0
0,179,7.0
0,261,9.0
0,159,9.0
0,303,7.0
0,168,7.0
0,181,7.0
0,280,9.0
0,332,7.0
0,63,9.0
0,381,7.0
0,101,9.0
0,66,9.0
0,130,7.0
0,308,9.0
0,85,7.0
1,334,8.0
1,47,8.0
1,233,8.0
1,423,8.0
1,143,8.0
1,260,8.0
1,506,8.0
1,421,8.0
1,147,5.0
1,34,8.0
1,196,8.0
1,363,8.0
1,591,8.0
1,557,8.0
1,403,8.0
1,461,8.0
1,241,8.0
1,57,8.0
1,174,8.0
1,137,8.0
1,476,8.0
1,389,8.0
1,249,8.0
1,351,8.0
1,420,8.0
2,538,7.0
2,461,8.0
2,40,7.0
2,445,7.0
2,47,5.0
2,490,7.0
2,387,5.0
2,370,8.0
2,205,7.0
2,5,7.0
2,422,8.0
2,56,7.0
2,423,8.0
2,430,5.0
2,489,8.0
2,259,8.0
2,281,8.0
2,544,7.0
2,247,8.0
2,101,4.0
2,273,7.0
2,201,5.0
2,341,7.0
2,427,8.0
2,372,7.0
3,215,7.0
3,574,5.0
3,493,7.0
3,320,4.0
3,427,7.0
3,169,8.0
3,166,8.0
3,165,5.0
3,308,7.0
3,183,8.0
3,177,7.0
3,14,7.0
3,257,8.0
3,94,7.0
3,347,8.0
3,151,8.0
3,317,4.0
3,324,5.0
3,433,7.0
3,455,8.0
3,184,5.0
3,468,5.0
3,54,8.0
3,276,5.0
3,142,7.0
4,33,8.0
4,481,8.0
4,292,7.0
4,534,7.0
4,564,7.0
4,445,7.0
4,234,8.0
4,170,7.0
4,409,7.0
4,254,7.0
4,29,8.0
4,582,8.0
4,498,8.0
4,139,8.0
4,321,8.0
4,3,8.0
4,560,8.0
4,273,7.0
4,368,7.0
4,332,7.0
4,311,7.0
4,67,8.0
4,488,7.0
4,522,7.0
4,34,7.0
5,239,5.0
5,528,9.0
5,183,4.0
5,152,9.0
5,361,8.0
5,4,8.0
5,101,4.0
5,146,8.0
5,340,9.0
5,174,5.0
5,586,5.0
5,8,8.0
5,178,9.0
5,483,5.0
5,104,9.0
5,245,5.0
5,491,5.0
5,242,8.0
5,543,5.0
5,557,5.0
5,303,4.0
5,397,5.0
5,588,9.0
5,562,4.0
5,395,8.0
6,312,5.0
6,360,8.0
6,104,7.0
6,25,8.0
6,396,5.0
6,156,5.0
6,435,5.0
6,455,8.0
6,560,7.0
6,298,5.0
6,92,5.0
6,536,5.0
6,251,8.0
6,26,5.0
6,15,8.0
6,456,5.0
6,583,7.0
6,6,7.0
6,572,7.0
6,64,5.0
6,133,8.0
6,402,8.0
6,481,8.0
6,380,4.0
6,405,7.0
7,167,7.0
7,227,7.0
7,176,7.0
7,384,7.0
7,173,7.0
7,536,7.0
7,325,7.0
7,400,7.0
